Year,Event
1963,Kenya gains independence on 12 December
1964,Republic of Kenya formed; Jomo Kenyatta becomes first President
1969-10-25,Kisumu Massacre—government troops open fire, causing dozens of deaths:contentReference[oaicite:0]{index=0}
1976,Attempt to alter constitution to block Vice-President Moi’s succession—fails:contentReference[oaicite:1]{index=1}
1978,President Kenyatta dies; Daniel arap Moi becomes President
1982-08-01,Failed coup attempt by Air Force officers, 240 killed:contentReference[oaicite:2]{index=2}
1982-08-11,Raila Odinga arrested following coup attempt; detained for years:contentReference[oaicite:3]{index=3}
1989,Green Belt Movement protests Uhuru Park land grab; led by Wangari Maathai:contentReference[oaicite:4]{index=4}
1990,Goldenberg scandal implicated government in large-scale corruption:contentReference[oaicite:5]{index=5}
1991-12,Section 2A repealed and multi-party system restored:contentReference[oaicite:6]{index=6}
1998-08,US embassy in Nairobi bombed by al-Shabaab; hundreds killed:contentReference[oaicite:7]{index=7}
2002-12,Mwai Kibaki wins election, ending KANU’s decades-long rule:contentReference[oaicite:8]{index=8}
2004,Wangari Maathai awarded Nobel Peace Prize for environmental advocacy:contentReference[oaicite:9]{index=9}
2005-11,Constitutional referendum rejects draft; pushes reform dialogue forward:contentReference[oaicite:10]{index=10}
2007-12-27,Post-election violence erupts, leading to power-sharing talks:contentReference[oaicite:11]{index=11}
2010-08-27,New Constitution promulgated—introduces devolution, Supreme Court, bill of rights:contentReference[oaicite:12]{index=12}
2011-10-14,Kenya launches Operation Linda Nchi in southern Somalia against al-Shabaab:contentReference[oaicite:13]{index=13}
2013-09-21,Al-Shabaab attack on Westgate Mall in Nairobi, 67 killed:contentReference[oaicite:14]{index=14}
2015-04,Al-Shabaab attack on Garissa University College kills 148 people:contentReference[oaicite:15]{index=15}
2019-03-09,Launch of Huduma Namba biometric ID system; sparked debates on privacy:contentReference[oaicite:16]{index=16}
2022-08,William Ruto elected President in tightly contested vote:contentReference[oaicite:17]{index=17}
2024-06-18,Gen Z-led protests begin (#RejectFinanceBill2024) against Finance Bill:contentReference[oaicite:18]{index=18}
2024-06-25,Protesters storm Parliament; at least 19 killed:contentReference[oaicite:19]{index=19}
2024-06-26,President Ruto withdraws parts of Finance Bill after backlash:contentReference[oaicite:20]{index=20}
2024-06-28,Government rejects Finance Bill entirely; new Appropriations Bill introduced:contentReference[oaicite:21]{index=21}
2025-03-03,Refugee protests over food rationing in Kakuma Camp; multiple injured:contentReference[oaicite:22]{index=22}
2025-03-07,ODA and UDA sign power-sharing pact to include opposition in governance:contentReference[oaicite:23]{index=23}
2025-05,Several high-profile conferences held: Africa Tech Summit, WCF Africa Summit, Global Business Summit—boosting digital & economic agendas:contentReference[oaicite:24]{index=24}
2025-06-17-20,Migration Gravel Race held across Kenya’s terrain; winners crowned:contentReference[oaicite:25]{index=25}
2025-06-19,Parliament passes 2025 finance law; strips KRA of unchecked data access after backlash:contentReference[oaicite:26]{index=26}
2025-06-25,One-year anniversary of Parliament storming marked by fresh protests; dozens killed:contentReference[oaicite:27]{index=27}
2025-07-07 ("Saba Saba"),Renewed deadly clashes during protests; lockdown and media blackout in Nairobi:contentReference[oaicite:28]{index=28}
2025-08-11,Kenya seeks funds for airport expansion after scrapping Adani deal:contentReference[oaicite:29]{index=29}
2025-08-12,Central Bank of Kenya cuts interest rate to 9.50%, seventh straight cut:contentReference[oaicite:30]{index=30}
2025-08-07-17,Kenyan women compete at World Games in Chengdu, China:contentReference[oaicite:31]{index=31}
2025-08-12,Kenyans mourn bus crash in Kisumu that killed 25 mourners, deepening calls for road safety reforms:contentReference[oaicite:32]{index=32}
2025-08-12,Air ambulance crashes near Nairobi; six killed in residential area:contentReference[oaicite:33]{index=33}
